FAO_Code,Species_EN
JRS,Mediterranean starry ray
UUC,Stargazer
WRA,"Wrasses, hogfishes, etc. NEI"
OYF,European flat oyster
FCP,Common carp
RIB,Common mora
SSG,Sand violet
ALV,Thresher
WHB,Blue whiting(=Poutassou)
BLU,Bluefish
DEC,Common dentex
GAR,Garfish
CLJ,Japanese carpet shell
ANN,Annular seabream
SPC,Picarel
DGX,Dogfish sharks NEI
COZ,Cockles NEI
SAL,Atlantic salmon
SHD,Allis and twaite shads
CSH,Common shrimp
ASD,Allis shad
TTR,Marbled electric ray
IAR,Pink cuttlefish
CRG,Green crab
TRS,Sea trout
FPP,Pike-perch
SME,European smelt
BFT,Atlantic bluefin tuna
RJO,Longnosed skate
BLE,Combtooth blennies
PCB,Barnacle
OOA,Snake blenny
PSL,Pink spiny lobster
ODL,Boxlip mullet
TSD,Twaite shad
BSH,Blue shark
QSC,Queen scallop
SBZ,Zebra seabream
BAS,Combers NEI
CEP,Cephalopods NEI
SAN,Sandeels(=Sandlances) NEI
ANE,European anchovy
POA,Atlantic pomfret
JCR,Royal cucumber
SLI,Spanish ling
VNR,Banded carpet shell
SCK,Kitefin shark
GHL,Greenland halibut
TPS,Carpet shells NEI
MYV,Mytilus mussels NEI
RJU,Undulate ray
WRF,Wreckfish
ALB,Albacore
TRI,"Triggerfishes, durgons NEI"
BET,Bigeye tuna
SMA,Shortfin mako
JDP,Common stingray
SKJ,Skipjack tuna
FRI,Frigate tuna
SBS,Saddled seabream
KUP,Kuruma prawn
MUT,Red mullet
EPI,Black cardinal fish
CMR,Mediterranean shore crab
ALF,Alfonsinos NEI
COB,Shi drum
CRU,Marine crustaceans NEI
RHG,Roughhead grenadier
CTR,Dwarf bobtail squid
LTA,Little tunny(=Atl.black skipj)
ROL,Rocklings NEI
SCL,"Catsharks, nursehounds NEI"
MON,Angler(=Monk)
SSD,Surf clams NEI
CUX,Sea cucumbers NEI
SYR,Knifetooth dogfish
SCO,"Scorpionfishes, redfishes NEI"
HOL,"Chimaeras, etc. NEI"
POR,Porbeagle
HAL,Atlantic halibut
BSK,Basking shark
SHR,Sharpsnout seabream
MYL,Common eagle ray
SJA,Great Mediterranean scallop
RPN,Sea snails
OLV,Paromola
BUM,Blue marlin
NAU,Pilotfish
LDB,Four-spot megrim
AVX,Sand smelts NEI
SQC,Common squids NEI
MGS,
POP,Pompano
CTB,Common two-banded seabream
FOR,Forkbeard
GPD,Dusky grouper
OYC,Cupped oysters NEI
MLS,Striped marlin
AMB,Greater amberjack
BAR,Barracudas NEI
MZZ,Marine fishes NEI
SAA,Round sardinella
CAL,Callinectes swimcrabs NEI
OCM,Horned and musky octopuses
PLA,Amer. plaice(=Long rough dab)
MGU,White mullet
TJX,Atlantic thornyhead
USI,Cuckoo wrasse
FSI,Freshwater siluroids NEI
CBR,Comber
BIL,"Marlins,sailfishes,etc. NEI"
VMA,Atlantic chub mackerel
CLX,"Clams, etc. NEI"
ANK,Blackbellied angler
